,MAPE,Spearman,Pearson,Kendall
baseline_train,0.1013,0.3071,0.4831,0.2334
baseline_test,0.1035,0.2944,0.3831,0.2241
after_nonsense_drop_train,0.1016,0.3003,0.4735,0.2334
after_nonsense_drop_test,0.1025,0.2952,0.4599,0.2241
after_soft_correlation_drop_train,0.1017,0.3001,0.4727,0.2334
after_soft_correlation_drop_test,0.1024,0.2948,0.4629,0.2241
after_linearization_drop_train,0.1069,0.316,0.4341,0.2334
after_linearization_drop_test,0.1076,0.3107,0.4267,0.2241
after_hard_correlation_drop_train,0.1082,0.311,0.4148,0.2334
after_hard_correlation_drop_test,0.1088,0.3029,0.4093,0.2241
model_train,0.1082,0.3112,0.4147,0.2334
model_test,0.1088,0.3033,0.409,0.2241
